item_number,item_name,sentence_intro,sentence_guess,sentence_outcome1,sentence_outcome2,disjunction_type,outcome,type,condition,imgur_intro,imgur_guess,imgur_outcome,old_item_name
1,d1,Laura decided to start a garden.,She will plant a cherry or an apple tree.,Here's what happened:,She planted both.,simplex,both,test_item,target,https://i.imgur.com/NIphmXV.jpg,https://imgur.com/Pb96ojz.jpg,https://i.imgur.com/o7pqzPw.jpg,t1
2,d2,Jen wants to decorate the wall.,She will hang a poster or a clock.,Here's what happened:,She only put up a clock.,simplex,only one,test_item,control_true,https://imgur.com/6B3PKy3.jpg,https://imgur.com/Pb96ojz.jpg,https://imgur.com/v3PfsgR.jpg,t2
3,d3,John is going to the market.,He will buy a watermelon or a pumpkin.,Here's what happened:,He bought grapes.,simplex,neither,test_item,control_false,https://i.imgur.com/NZd5Sb7.jpg,https://imgur.com/Pb96ojz.jpg,https://imgur.com/adCedqn.jpg,t3
4,d4,Amelia is going to a birthday party.,She will bring a bouquet or balloons.,Here's what happened:,She brought both.,simplex,both,test_item,target,https://i.imgur.com/zAHZbVz.jpg,https://imgur.com/Pb96ojz.jpg,https://i.imgur.com/Lj4lLba.jpg,t4
5,d5,Mike is planning to go for a walk.,He will put on a hat or a scarf.,Here's what happened:,He only put on a scarf.,simplex,only one,test_item,control_true,https://i.imgur.com/0y8KTWF.jpg,https://imgur.com/Pb96ojz.jpg,https://i.imgur.com/MI6h3HD.jpg,t5
6,d6,Oscar is going to a party. ,He will bring a cake or chips.,Here's what happened:,He brought a bottle. ,simplex,neither,test_item,control_false,https://i.imgur.com/2JCkajI.jpg,https://imgur.com/Pb96ojz.jpg,https://imgur.com/vNCZEkD.jpg,t6
7,d7,Rachel is invited to a gala.,She will wear a necklace or a hat.,Here's what happened:,She wore both.,simplex,both,test_item,target,https://i.imgur.com/MrBvA1f.jpg,https://imgur.com/Pb96ojz.jpg,https://i.imgur.com/0i7tATb.jpg,t7
8,d8,Gabe wants to relax this evening.,He will knit a scarf or socks.,Here's what happened:,He only knitted a scarf.,simplex,only one,test_item,control_true,https://i.imgur.com/vfRxBfL.jpg,https://imgur.com/Pb96ojz.jpg,https://i.imgur.com/ArUVdlb.jpg,t8
9,d9,Mary is ordering food on the phone.,She will order a soup or a salad.,Here's what happened:,She ordered pizza. ,simplex,neither,test_item,control_false,https://imgur.com/qVRXGAs.jpg,https://imgur.com/Pb96ojz.jpg,https://imgur.com/WYaVGTJ.jpg,new
10,d10,The children are starting a new school year.,They will bring flowers or balloons.,Here's what happened:,They brought both.,simplex,both,test_item,target,https://imgur.com/sMGaH2o.jpg,https://imgur.com/Pb96ojz.jpg,https://imgur.com/UhaKc1g.jpg,new
